Volcano_Name,Volcano_Image,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Summit_and_Elevatiuon,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Latitude1,Longitude1,Elevation1,Placement
"Nevado, Cerro",https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Argentina,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,"3791 m, 12438 ft",35.58°S,68.489°W,58168,58168,78676,421077,-35.58,-68.489,3791,On land
Ngaoundere Plateau,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Cameroon,Volcanic Region,Africa (western),pleistocene,Pleistocene,"1230 m, 4035 ft",7.25°N,13.67°E,,,,,7.25,13.67,1230,On land
Ngatoroirangi,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,New Zealand,Volcanic Region,New Zealand,pleistocene,Pleistocene,"-340 m, -1115 ft",33.729°S,179.827°E,,,,,-33.729,179.827,-340,Underwater
Nggatokae,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Solomon Islands,Volcanic Region,Bougainville and Solomon Islands,pleistocene,Pleistocene,"840 m, 2756 ft",8.78°S,158.18°E,,,,,-8.78,158.18,840,On land
Ngorongoro,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Tanzania,Volcanic Region,Africa (eastern),pleistocene,Pleistocene,"2376 m, 7795 ft",3.17°S,35.57°E,,,,,-3.17,35.57,2376,On land
Nichiyo Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Japan,Volcanic Region,"Izu, Volcano, and Mariana Islands",pleistocene,Pleistocene,"-1042 m, -3419 ft",29.482°N,140.327°E,,,,,29.482,140.327,-1042,Underwater
"Niebla, Cerro de la",https://volcano.si.edu/includes/images/noimage.jpg,Compound,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,"4500 m, 14764 ft",25.25°S,68.63°W,,,,,-25.25,-68.63,4500,On land
"Nieges, Piton des",https://volcano.si.edu/includes/images/noimage.jpg,Shield,France,Volcanic Region,Indian Ocean (western),pleistocene,Pleistocene,"3070 m, 10072 ft",21.08°S,55.48°E,,,,,-21.08,55.48,3070,On land
Nigorikawa,https://volcano.si.edu/gallery/photos/GVP-09609.jpg,Caldera,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,"356 m, 1168 ft",42.12°N,140.45°E,,,,,42.12,140.45,356,On land
Niihau,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,Hawaiian Islands,pleistocene,Pleistocene,"390 m, 1280 ft",21.95°N,160.08°W,,,,,21.95,-160.08,390,On land
Nikolka,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"1591 m, 5220 ft",55.33°N,159.95°E,,,,,55.33,159.95,1591,On land
Niseikaushuppe,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,"1883 m, 6178 ft",43.777°N,142.989°E,,,,,43.777,142.989,1883,On land
Nograd-Southern Slovakia,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Hungary,Volcanic Region,Western Europe,pleistocene,Pleistocene,"720 m, 2362 ft",48.159°N,19.79°E,,,,,48.159,19.79,720,On land
Nonda,https://volcano.si.edu/gallery/photos/GVP-11098.jpg,Stratovolcano,Solomon Islands,Volcanic Region,Bougainville and Solomon Islands,pleistocene,Pleistocene,"760 m, 2493 ft",7.67°S,156.6°E,,,,,-7.67,156.6,760,On land
Noro,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,"180 m, 591 ft",35.41°N,133.182°E,,,,,35.41,133.182,180,On land
North Kawio,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Indonesia,Volcanic Region,Sangihe Islands,pleistocene,Pleistocene,"109 m, 358 ft",4.684°N,125.468°E,,,,,4.684,125.468,109,On land
Northern Atenguillo,https://volcano.si.edu/gallery/photos/GVP-07570.jpg,Shield(s),Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,"1700 m, 5577 ft",20.75°N,104.5°W,,,,,20.75,-104.5,1700,On land
Northern Centres,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Netherlands,Volcanic Region,West Indies,pleistocene,Pleistocene,"Unknown,  ",17.508°N,62.992°W,,,,,17.508,-62.992,Not available,Not available
Northern Guadalajara Mesa,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,"1820 m, 5971 ft",20.88°N,103.4°W,,,,,20.88,-103.4,1820,On land
Northern Mendoza Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Argentina,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,"Unknown,  ",34.67°S,69°W,,,,,-34.67,-69,Not available,Not available
Northern Tongariro Group,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),New Zealand,Volcanic Region,New Zealand,pleistocene,Pleistocene,"1327 m, 4354 ft",38.98°S,175.7°E,,,,,-38.98,175.7,1327,On land
Nosichan,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"1105 m, 3625 ft",56.08°N,157.75°E,,,,,56.08,157.75,1105,On land
Nuit,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Malaysia,Volcanic Region,Borneo,pleistocene,Pleistocene,"1701 m, 5581 ft",1.02°N,109.93°E,,,,,1.02,109.93,1701,On land
Nulla Volcanic Province,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Australia,Volcanic Region,Australia,pleistocene,Pleistocene,"840 m, 2756 ft",19.82°S,145.08°E,,,,,-19.82,145.08,840,On land
Numa Numa,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Papua New Guinea,Volcanic Region,Bougainville and Solomon Islands,pleistocene,Pleistocene,"1567 m, 5141 ft",6.02°S,155.192°E,,,,,-6.02,155.192,1567,On land
Numanokami,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,"1541 m, 5056 ft",36.772°N,139.279°E,0,0,0,1078,36.772,139.279,1541,On land
Nunivak Island,https://volcano.si.edu/gallery/photos/GVP-10437.jpg,Shield,United States,Volcanic Region,Alaska (western),pleistocene,Pleistocene,"511 m, 1677 ft",60.02°N,166.33°W,,,,,60.02,-166.33,511,On land
Nuomin,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),China,Volcanic Region,China (eastern),pleistocene,Pleistocene,"906 m, 2972 ft",49.617°N,123.717°E,,,,,49.617,123.717,906,On land
Nushan,https://volcano.si.edu/includes/images/noimage.jpg,Cone,China,Volcanic Region,China (eastern),pleistocene,Pleistocene,"Unknown,  ",33.12°N,118.75°E,,,,,33.12,118.75,Not available,Not available
NW Ethiopian Plateau,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,"2500 m, 8202 ft",11°N,36.833°E,,,,,11,36.833,2500,On land
Nyoho-Akanagi,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,"2483 m, 8146 ft",36.808°N,139.54°E,,,,,36.808,139.54,2483,On land
"Nyokie, Ol Doinyo",https://volcano.si.edu/includes/images/noimage.jpg,Tuff cone,Kenya,Volcanic Region,Africa (eastern),pleistocene,Pleistocene,"1169 m, 3835 ft",1.8°S,36.38°E,,,,,-1.8,36.38,1169,On land
Nyuto-Takakura,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,"1478 m, 4849 ft",39.802°N,140.842°E,,,,,39.802,140.842,1478,On land
Obiglio,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Antarctica,Volcanic Region,Antarctica and South Sandwich Islands,pleistocene,Pleistocene,"488 m, 1601 ft",74.458°S,131.848°W,,,,,-74.458,-131.848,488,On land
Ocate,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,Volcanic Region,USA (New Mexico),pleistocene,Pleistocene,"3000 m, 9843 ft",36.12°N,104.75°W,,,,,36.12,-104.75,3000,On land
Ochchamo,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"2136 m, 7008 ft",55.62°N,158.15°E,,,,,55.62,158.15,2136,On land
Oetakayama,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,"808 m, 2651 ft",35.061°N,132.431°E,,,,,35.061,132.431,808,On land
Ogino-Sen,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,"1310 m, 4298 ft",35.437°N,134.444°E,,,,,35.437,134.444,1310,On land
Ojikajima,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Japan,Volcanic Region,Ryukyu Islands and Kyushu,pleistocene,Pleistocene,"95 m, 312 ft",33.199°N,129.051°E,,,,,33.199,129.051,95,On land
Ok,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Iceland,Volcanic Region,Iceland (southwestern),pleistocene,Pleistocene,"1141 m, 3743 ft",64.62°N,20.88°W,,,,,64.62,-20.88,1141,On land
Okiura,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,"985 m, 3232 ft",40.57°N,140.73°E,,,,,40.57,140.73,985,On land
Okushiri-Katsumayama,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,"428 m, 1404 ft",42.193°N,139.468°E,,,,,42.193,139.468,428,On land
Olallie Butte,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,"2199 m, 7215 ft",44.82°N,121.75°W,,,,,44.82,-121.75,2199,On land
Olim,https://volcano.si.edu/includes/images/noimage.jpg,Fissure vent(s),Indonesia,Volcanic Region,Sumatra,pleistocene,Pleistocene,"Unknown,  ",5.2°N,96.18°E,,,,,5.2,96.18,Not available,Not available
Oliver-Speight,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,New Zealand,Volcanic Region,New Zealand,pleistocene,Pleistocene,"-1840 m, -6037 ft",32.388°S,179.591°W,21,182,1246,17574,-32.388,-179.591,-1840,Underwater
Ollague,https://volcano.si.edu/gallery/photos/GVP-06915.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,"5868 m, 19252 ft",21.3°S,68.18°W,,,,,-21.3,-68.18,5868,On land
Olmoti,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Tanzania,Volcanic Region,Africa (eastern),pleistocene,Pleistocene,"3099 m, 10167 ft",3°S,35.65°E,,,,,-3,35.65,3099,On land
Omeshidake,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,"2160 m, 7087 ft",36.626°N,138.461°E,,,,,36.626,138.461,2160,On land
Onikobe,https://volcano.si.edu/gallery/photos/GVP-11791.jpg,Caldera,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,"769 m, 2523 ft",38.83°N,140.695°E,,,,,38.83,140.695,769,On land
Onnebetsu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,"1331 m, 4367 ft",43.991°N,145.017°E,,,,,43.991,145.017,1331,On land
Onoharajima,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome,Japan,Volcanic Region,"Izu, Volcano, and Mariana Islands",pleistocene,Pleistocene,"114 m, 374 ft",34.045°N,139.387°E,,,,,34.045,139.387,114,On land
"Ora, Doro",https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,Volcanic Region,Lesser Sunda Islands,pleistocene,Pleistocene,"668 m, 2192 ft",8.75°S,119.67°E,,,,,-8.75,119.67,668,On land
Oricola-Carsoli,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Italy,Volcanic Region,Italy,pleistocene,Pleistocene,"Unknown,  ",42.15°N,13.08°E,,,,,42.15,13.08,Not available,Not available
Orkhon Gol,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Mongolia,Volcanic Region,Mongolia,pleistocene,Pleistocene,"Unknown,  ",48.65°N,103.5°E,,,,,48.65,103.5,Not available,Not available
Orofure-Raiba,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,"1231 m, 4039 ft",42.563°N,141.091°E,,,,,42.563,141.091,1231,On land
Oshima Maruyama,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,"855 m, 2805 ft",41.54°N,140.375°E,,,,,41.54,140.375,855,On land
Oshima-Kojima,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,"282 m, 925 ft",41.355°N,139.811°E,0,0,66,6106,41.355,139.811,282,On land
Ostanets,https://volcano.si.edu/gallery/photos/GVP-12614.jpg,Shield(s),Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"719 m, 2359 ft",52.146°N,157.322°E,14,14,34,8527,52.146,157.322,719,On land
Otdelniy,https://volcano.si.edu/gallery/photos/GVP-11313.jpg,Pyroclastic cone(s),Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"814 m, 2671 ft",52.221°N,157.435°E,,,,,52.221,157.435,814,On land
Oto Group,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Papua New Guinea,Volcanic Region,New Britain,pleistocene,Pleistocene,"1277 m, 4190 ft",5.558°S,150.407°E,,,,,-5.558,150.407,1277,On land
"Otota, Doro",https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,Volcanic Region,Lesser Sunda Islands,pleistocene,Pleistocene,"518 m, 1699 ft",8.72°S,119.42°E,,,,,-8.72,119.42,518,On land
Oujda Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Morocco,Volcanic Region,Africa (northern),pleistocene,Pleistocene,"700 m, 2297 ft",34.53°N,3.3°W,,,,,34.53,-3.3,700,On land
Oulmes Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Morocco,Volcanic Region,Africa (northern),pleistocene,Pleistocene,"Unknown,  ",33.33°N,6°W,,,,,33.33,-6,Not available,Not available
Ovalny,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"732 m, 2402 ft",56.98°N,158.98°E,5,29,659,7138,56.98,158.98,732,On land
"Overo, Cerro",https://volcano.si.edu/gallery/photos/GVP-09016.jpg,Maar,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,"4576 m, 15013 ft",23.52°S,67.662°W,,,,,-23.52,-67.662,4576,On land
Oyma,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,"1041 m, 3415 ft",12.88°N,41.62°E,0,2,81,3688,12.88,41.62,1041,On land
Ozernoy,https://volcano.si.edu/gallery/photos/GVP-11311.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"562 m, 1844 ft",51.88°N,157.38°E,,,,,51.88,157.38,562,On land
Paama Island,https://volcano.si.edu/includes/images/noimage.jpg,Complex,Vanuatu,Volcanic Region,Vanuatu,pleistocene,Pleistocene,"544 m, 1785 ft",16.47°S,168.23°E,,,,,-16.47,168.23,544,On land
Pacdahauan,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Philippines,Volcanic Region,Central Philippines,pleistocene,Pleistocene,"628 m, 2060 ft",11.404°N,124.509°E,7793,79870,311625,1869793,11.404,124.509,628,On land
Paco-Maniayao,https://volcano.si.edu/gallery/photos/GVP-12294.jpg,Stratovolcano,Philippines,Volcanic Region,Mindanao,pleistocene,Pleistocene,"664 m, 2178 ft",9.593°N,125.52°E,,,,,9.593,125.52,664,On land
Pailin,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Cambodia,Volcanic Region,Southeast Asia,pleistocene,Pleistocene,"Unknown,  ",12.9°N,102.6°E,,,,,12.9,102.6,Not available,Not available
Pambamarca,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,"4076 m, 13373 ft",0.076°S,78.207°W,,,,,-0.076,-78.207,4076,On land
Pan de Azucar,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,"3482 m, 11424 ft",0.43°S,77.72°W,,,,,-0.43,-77.72,3482,On land
Panay,https://volcano.si.edu/gallery/photos/GVP-12301.jpg,Stratovolcano,Philippines,Volcanic Region,Luzon,pleistocene,Pleistocene,"501 m, 1644 ft",13.723°N,120.893°E,,,,,13.723,120.893,501,On land
Paniri,https://volcano.si.edu/gallery/photos/GVP-06909.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,"5946 m, 19508 ft",22.059°S,68.228°W,91,474,9443,269944,-22.059,-68.228,5946,On land
"Pantoja, Cerro",https://volcano.si.edu/gallery/photos/GVP-11454.jpg,Stratovolcano,Chile,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,"1897 m, 6224 ft",40.768°S,71.943°W,,,,,-40.768,-71.943,1897,On land
Pasochoa,https://volcano.si.edu/gallery/photos/GVP-04457.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,"4199 m, 13776 ft",0.462°S,78.478°W,,,,,-0.462,-78.478,4199,On land
Patas,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,Volcanic Region,Lesser Sunda Islands,pleistocene,Pleistocene,"1390 m, 4560 ft",8.261°S,114.817°E,,,,,-8.261,114.817,1390,On land
Patilla Pata,https://volcano.si.edu/gallery/photos/GVP-11245.jpg,Stratovolcano,Bolivia,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,"5300 m, 17388 ft",18.05°S,69.03°W,,,,,-18.05,-69.03,5300,On land
"Patos, Los",https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,"6250 m, 20505 ft",27.27°S,69°W,,,,,-27.27,-69,6250,On land
"Pedregal, El",https://volcano.si.edu/gallery/photos/GVP-11492.jpg,Shield,Honduras,Volcanic Region,El Salvador and Honduras,pleistocene,Pleistocene,"1593 m, 5226 ft",14.1°N,87.27°W,,,,,14.1,-87.27,1593,On land
Pelican Butte,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,"2449 m, 8035 ft",42.52°N,122.13°W,,,,,42.52,-122.13,2449,On land
Pengchiahsu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Taiwan,Volcanic Region,Taiwan,pleistocene,Pleistocene,"120 m, 394 ft",25.63°N,122.08°E,,,,,25.63,122.08,120,On land
"Perdidos, Los",https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Costa Rica,Volcanic Region,Costa Rica,pleistocene,Pleistocene,"1357 m, 4452 ft",10.403°N,84.675°W,,,,,10.403,-84.675,1357,On land
Perevalny,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"Unknown,  ",52.13°N,157.78°E,,,,,52.13,157.78,Not available,Not available
Perevalovyi,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"1328 m, 4357 ft",56.57°N,159.35°E,,,,,56.57,159.35,1328,On land
Persani Mountains,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Romania,Volcanic Region,Western Europe,pleistocene,Pleistocene,"623 m, 2044 ft",45.982°N,25.339°E,,,,,45.982,25.339,623,On land
Pesagi,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,Volcanic Region,Sumatra,pleistocene,Pleistocene,"2232 m, 7323 ft",4.92°S,104.15°E,,,,,-4.92,104.15,2232,On land
Pesawaran-Ratai,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,Volcanic Region,Sumatra,pleistocene,Pleistocene,"1575 m, 5167 ft",5.505°S,105.093°E,673,2765,87794,1850111,-5.505,105.093,1575,On land
Petacas,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome,Colombia,Volcanic Region,Colombia,pleistocene,Pleistocene,"3576 m, 11732 ft",1.624°N,76.827°W,0,0,0,0,1.624,-76.827,3576,On land
Peter I Island,https://volcano.si.edu/gallery/photos/GVP-11771.jpg,Shield,Antarctica,Volcanic Region,Antarctica and South Sandwich Islands,pleistocene,Pleistocene,"1640 m, 5381 ft",68.85°S,90.58°W,,,,,-68.85,-90.58,1640,On land
Petr Shmidt Ridge,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Russia,Volcanic Region,Kuril Islands,pleistocene,Pleistocene,"1031 m, 3383 ft",45.95°N,150.05°E,,,,,45.95,150.05,1031,On land
Phoenix Segment,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,Volcanic Region,Pacific Ocean (northern),pleistocene,Pleistocene,"-3000 m, -9843 ft",41.404°N,127.38°W,,,,,41.404,-127.38,-3000,Underwater
Piebald Volcanic Province,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Australia,Volcanic Region,Australia,pleistocene,Pleistocene,"420 m, 1378 ft",15.23°S,145.03°E,,,,,-15.23,145.03,420,On land
Piedra Grande,https://volcano.si.edu/gallery/photos/GVP-10492.jpg,Stratovolcano(es),Guatemala,Volcanic Region,Guatemala,pleistocene,Pleistocene,"1640 m, 5381 ft",14.25°N,90.4°W,,,,,14.25,-90.4,1640,On land
Piedra Parada,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,"5920 m, 19423 ft",26.4°S,68.75°W,,,,,-26.4,-68.75,5920,On land
Piip,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"2059 m, 6755 ft",55.319°N,160.667°E,,,,,55.319,160.667,2059,On land
Pilavo,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,"4254 m, 13957 ft",0.526°N,78.365°W,,,,,0.526,-78.365,4254,On land
Pino Hachado,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Argentina,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,"2017 m, 6617 ft",38.679°S,70.814°W,,,,,-38.679,-70.814,2017,On land
Pinto Basin-Salton Creek,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,Volcanic Region,USA (California),pleistocene,Pleistocene,"600 m, 1969 ft",33.9°N,115.63°W,,,,,33.9,-115.63,600,On land
Pinzon,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Ecuador,Volcanic Region,Galapagos Islands,pleistocene,Pleistocene,"458 m, 1503 ft",0.6°S,90.68°W,0,4,214,34133,-0.6,-90.68,458,On land
Piratkovsky,https://volcano.si.edu/gallery/photos/GVP-12613.jpg,Stratovolcano,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"1322 m, 4337 ft",52.113°N,157.849°E,,,,,52.113,157.849,1322,On land
Pirongia,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,New Zealand,Volcanic Region,New Zealand,pleistocene,Pleistocene,"956 m, 3136 ft",37.993°S,175.098°E,,,,,-37.993,175.098,956,On land
Pirozhnikova,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"1646 m, 5400 ft",57.53°N,160.339°E,,,,,57.53,160.339,1646,On land
Pitcairn,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United Kingdom,Volcanic Region,Pacific Ocean (central),pleistocene,Pleistocene,"313 m, 1027 ft",25.068°S,130.113°W,,,,,-25.068,-130.113,313,On land
"Piuquenes, Nevado de los",https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,"6019 m, 19747 ft",33.52°S,69.83°W,,,,,-33.52,-69.83,6019,On land
Pleiku-Bantour Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Cone(s),Vietnam,Volcanic Region,Southeast Asia,pleistocene,Pleistocene,"1028 m, 3373 ft",13.85°N,108.1°E,,,,,13.85,108.1,1028,On land
Ploskiy,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"877 m, 2877 ft",52.37°N,157.62°E,0,2,166,1813,52.37,157.62,877,On land
Plosky,https://volcano.si.edu/gallery/photos/GVP-12486.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"1255 m, 4117 ft",57.83°N,160.25°E,653,47055,270617,862807,57.83,160.25,1255,On land
Poco Leok,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,Volcanic Region,Lesser Sunda Islands,pleistocene,Pleistocene,"1675 m, 5495 ft",8.68°S,120.48°E,,,,,-8.68,120.48,1675,On land
"Poco Sol, Laguna",https://volcano.si.edu/includes/images/noimage.jpg,Explosion crater(?),Costa Rica,Volcanic Region,Costa Rica,pleistocene,Pleistocene,"789 m, 2589 ft",10.35°N,84.67°W,0,0,8,9983,10.35,-84.67,789,On land
Pogranychny,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,"1427 m, 4682 ft",56.85°N,159.8°E,,,,,56.85,159.8,1427,On land
Polino,https://volcano.si.edu/includes/images/noimage.jpg,Explosion crater(s),Italy,Volcanic Region,Italy,pleistocene,Pleistocene,"Unknown,  ",42.57°N,12.82°E,,,,,42.57,12.82,Not available,Not available
Pontine Islands,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Italy,Volcanic Region,Italy,pleistocene,Pleistocene,"283 m, 928 ft",40.9°N,12.95°E,,,,,40.9,12.95,283,On land
Poquis,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,"5770 m, 18930 ft",23.02°S,67.05°W,,,,,-23.02,-67.05,5770,On land
Poros,https://volcano.si.edu/includes/images/noimage.jpg,Fissure vent,Greece,Volcanic Region,Greece,pleistocene,Pleistocene,"80 m, 262 ft",37.48°N,23.43°E,,,,,37.48,23.43,80,On land
Porquesa,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,"5190 m, 17028 ft",19.958°S,68.73°W,,,,,-19.958,-68.73,5190,On land
